predictor           ,depressionFemalePrecision ,depressionFemaleRecall ,depressionFemaleF1   ,normalFemalePrecision ,normalFemaleRecall   ,normalFemaleF1       ,accuracyFemale       ,MCCFemale            ,roc-aucFemale        ,depressionMalePrecision ,depressionMaleRecall ,depressionMaleF1  ,normalMalePrecision ,normalMaleRecall  ,normalMaleF1      ,accuracyMale      ,MCCMale           ,roc-aucMale       ,depressionTotalPrecision ,depressionTotalRecall ,depressionTotalF1  ,normalTotalPrecision ,normalTotalRecall  ,normalTotalF1      ,accuracyTotal      ,MCCTotal           ,roc-aucTotal       ,statisticalParity  ,equalOpportunity   ,equalisedOdds      ,equalAccuracy
w2vec               ,     0.9032258064516128 ,  1.0                ,0.9491525423728812 , 1.0                ,0.8867924528301887 ,0.94               ,0.944954128440367  ,0.8949714120365806 ,0.9892183288409704 ,      0.9615384615384616 ,   1.0                ,0.9803921568627452 ,  1.0                ,0.9615384615384616 ,0.9803921568627452 ,0.9803921568627452 ,0.9615384615384616 ,0.9984615384615384 ,      0.9204545454545454 ,   1.0                ,0.9585798816568049 ,  1.0                ,0.9113924050632912 ,0.9536423841059604 ,0.95625            ,0.9159122675962238 ,0.993280200031255  ,0.8796330275229358 ,0.9222641509433962 ,0.9618941916389196 ,0.9638532110091744
ruleBased           ,     0.92               ,  0.8214285714285714 ,0.8679245283018867 , 0.8305084745762712 ,0.9245283018867924 ,0.875              ,0.8715596330275229 ,0.7482292129365162 ,                   ,      0.95               ,   0.76               ,0.8444444444444444 ,  0.8064516129032258 ,0.9615384615384616 ,0.8771929824561403 ,0.8627450980392157 ,0.7387888284229002 ,                   ,      0.9285714285714286 ,   0.8024691358024691 ,0.8609271523178809 ,  0.8222222222222222 ,0.9367088607594936 ,0.8757396449704142 ,0.86875            ,0.744963184744785  ,                   ,0.890500147972773  ,0.9615094339622642 ,1.0141840640348403 ,1.0102168473728106
DictionaryBased     ,     0.5137614678899083 ,  1.0                ,0.6787878787878788 , 0.0                ,0.0                ,0.0                ,0.5137614678899083 ,0.0                ,0.5                ,      0.4901960784313725 ,   1.0                ,0.6578947368421052 ,  0.0                ,0.0                ,0.0                ,0.4901960784313725 ,0.0                ,0.5                ,      0.50625            ,   1.0                ,0.6721991701244813 ,  0.0                ,0.0                ,0.0                ,0.50625            ,0.0                ,0.5                ,                   ,                   ,1.0                ,1.048073394495413
TFIDF500            ,     0.9166666666666666 ,  0.9821428571428572 ,0.9482758620689654 , 0.979591836734694  ,0.9056603773584906 ,0.9411764705882352 ,0.944954128440367  ,0.8920208508039849 ,0.9919137466307276 ,      0.925925925925926  ,   1.0                ,0.9615384615384616 ,  1.0                ,0.9230769230769232 ,0.96               ,0.9607843137254902 ,0.9245003270420484 ,0.996923076923077  ,      0.9195402298850576 ,   0.9876543209876544 ,0.9523809523809524 ,  0.9863013698630136 ,0.9113924050632912 ,0.9473684210526316 ,0.95               ,0.902437767701604  ,0.9928113767776215 ,0.9552752293577982 ,0.981132075471698  ,0.9816576819407008 ,0.983523684703239
TFIDFEX500          ,     0.9310344827586208 ,  0.9642857142857144 ,0.9473684210526316 , 0.9607843137254902 ,0.9245283018867924 ,0.9423076923076924 ,0.944954128440367  ,0.8903151387015578 ,0.9818059299191376 ,      0.9615384615384616 ,   1.0                ,0.9803921568627452 ,  1.0                ,0.9615384615384616 ,0.9803921568627452 ,0.9803921568627452 ,0.9615384615384616 ,1.0                ,      0.9404761904761904 ,   0.9753086419753086 ,0.9575757575757574 ,  0.9736842105263158 ,0.9367088607594936 ,0.9548387096774194 ,0.95625            ,0.9130883232313024 ,0.9854664791373652 ,0.9544954128440368 ,0.9615094339622642 ,0.9629247925585328 ,0.9638532110091744
TFIDFIN500          ,     0.9215686274509804 ,  0.8392857142857143 ,0.8785046728971961 , 0.8448275862068966 ,0.9245283018867924 ,0.8828828828828829 ,0.8807339449541285 ,0.7651040255634691 ,0.8808962264150944 ,      0.8846153846153846 ,   0.92               ,0.9019607843137256 ,  0.92               ,0.8846153846153846 ,0.9019607843137256 ,0.9019607843137256 ,0.8046153846153846 ,0.9176923076923078 ,      0.9090909090909092 ,   0.8641975308641975 ,0.8860759493670887 ,  0.8674698795180723 ,0.9113924050632912 ,0.8888888888888888 ,0.8875             ,0.7760752104538838 ,0.8920143772464448 ,1.0855045871559634 ,1.0451189499589828 ,0.9773905460461464 ,0.9764658954926208
blingfire           ,     0.5412844036697247 ,  1.0                ,0.7023809523809523 , 0.0                ,0.0                ,0.0                ,0.5412844036697247 ,0.0                ,0.5                ,      0.4038461538461538 ,   1.0                ,0.5753424657534247 ,  0.0                ,0.0                ,0.0                ,0.4038461538461538 ,0.0                ,0.5                ,      0.4968944099378882 ,   1.0                ,0.6639004149377593 ,  0.0                ,0.0                ,0.0                ,0.4968944099378882 ,0.0                ,0.5                ,                   ,                   ,1.0                ,1.3403232852774136
reweightedblingfire ,     0.5412844036697247 ,  1.0                ,0.7023809523809523 , 0.0                ,0.0                ,0.0                ,0.5412844036697247 ,0.0                ,0.503728813559322  ,      0.4038461538461538 ,   1.0                ,0.5753424657534247 ,  0.0                ,0.0                ,0.0                ,0.4038461538461538 ,0.0                ,0.4946236559139784 ,      0.4968944099378882 ,   1.0                ,0.6639004149377593 ,  0.0                ,0.0                ,0.0                ,0.4968944099378882 ,0.0                ,0.4998456790123456 ,                   ,                   ,1.0                ,1.3403232852774136
nltk                ,     0.5412844036697247 ,  1.0                ,0.7023809523809523 , 0.0                ,0.0                ,0.0                ,0.5412844036697247 ,0.0                ,0.5                ,      0.4038461538461538 ,   1.0                ,0.5753424657534247 ,  0.0                ,0.0                ,0.0                ,0.4038461538461538 ,0.0                ,0.5161290322580645 ,      0.4968944099378882 ,   1.0                ,0.6639004149377593 ,  0.0                ,0.0                ,0.0                ,0.4968944099378882 ,0.0                ,0.5061728395061729 ,                   ,                   ,1.0                ,1.3403232852774136
reweightednltk      ,     0.5412844036697247 ,  1.0                ,0.7023809523809523 , 0.0                ,0.0                ,0.0                ,0.5412844036697247 ,0.0                ,0.5096610169491526 ,      0.4038461538461538 ,   1.0                ,0.5753424657534247 ,  0.0                ,0.0                ,0.0                ,0.4038461538461538 ,0.0                ,0.5                ,      0.4968944099378882 ,   1.0                ,0.6639004149377593 ,  0.0                ,0.0                ,0.0                ,0.4968944099378882 ,0.0                ,0.5057098765432099 ,                   ,                   ,1.0                ,1.3403232852774136
